"Genotype"	"Treatment"	"Chamber.ID"	"Replicate"	"Age"	"Num.Sample"	"Rosette.leaf.num"	"weight.grams"
"1"	"Col"	"22VarLD"	"3B"	1	9	37	NA	0.00012514
"2"	"Col FRI"	"22VarLD"	"3B"	1	9	36	NA	8.528e-05
"3"	"Col"	"22ConLD"	"4B"	1	9	31	NA	0.00011968
"4"	"Col FRI"	"22ConLD"	"4B"	1	9	38	NA	0.00011842
"5"	"Col"	"22ConLD"	"6T"	1	9	36	NA	0.00010556
"6"	"Col FRI"	"22ConLD"	"6T"	1	9	30	NA	9.833e-05
"7"	"Col"	"22VarLD"	"7T"	1	9	35	NA	9.571e-05
"8"	"Col FRI"	"22VarLD"	"7T"	1	9	35	NA	8.686e-05
"9"	"Col"	"12ConLD"	"2B"	1	12	35	NA	0.00016448
"10"	"Col FRI"	"12ConLD"	"2B"	1	12	34	NA	0.00016196
"11"	"Col"	"22ConSD"	"2T"	1	12	35	NA	0.00011419
"12"	"Col FRI"	"22ConSD"	"2T"	1	12	35	NA	0.00014581
"13"	"Col"	"22VarLD"	"3B"	1	12	4	NA	0.0004775
"14"	"Col FRI"	"22VarLD"	"3B"	1	12	4	NA	0.00033833
"15"	"Col"	"22VarSD"	"3T"	1	12	43	NA	8.729e-05
"16"	"Col FRI"	"22VarSD"	"3T"	1	12	28	NA	9.143e-05
"17"	"Col"	"22ConLD"	"4B"	1	12	4	NA	0.00047833
"18"	"Col FRI"	"22ConLD"	"4B"	1	12	4	NA	0.000545
"19"	"Col"	"12ConSD"	"4T"	1	12	41	NA	6.699e-05
"20"	"Col FRI"	"12ConSD"	"4T"	1	12	37	NA	6.937e-05
"21"	"Col"	"12ConLD"	"5B"	1	12	25	NA	0.0001056
"22"	"Col FRI"	"12ConLD"	"5B"	1	12	35	NA	0.00014105
"23"	"Col"	"12ConSD"	"5T"	1	12	30	NA	5.4e-05
"24"	"Col FRI"	"12ConSD"	"5T"	1	12	37	NA	5.198e-05
"25"	"Col"	"22VarSD"	"6B"	1	12	21	NA	8.032e-05
"26"	"Col FRI"	"22VarSD"	"6B"	1	12	37	NA	9.351e-05
"27"	"Col"	"22ConLD"	"6T"	1	12	4	NA	0.00050083
"28"	"Col FRI"	"22ConLD"	"6T"	1	12	4	NA	0.000475
"29"	"Col"	"22ConSD"	"7B"	1	12	35	NA	0.00013629
"30"	"Col FRI"	"22ConSD"	"7B"	1	12	24	NA	0.00012986
"31"	"Col"	"22VarLD"	"7T"	1	12	4	NA	0.00042083
"32"	"Col FRI"	"22VarLD"	"7T"	1	12	4	NA	0.0003825
"33"	"Col"	"22VarLD"	"3B"	1	15	1	6	0.00127333
"34"	"Col"	"22VarLD"	"3B"	2	15	1	6	0.00160667
"35"	"Col"	"22VarLD"	"3B"	3	15	1	6	0.00101667
"36"	"Col"	"22VarLD"	"3B"	4	15	1	5	0.00097
"37"	"Col FRI"	"22VarLD"	"3B"	1	15	1	6	0.00152667
"38"	"Col FRI"	"22VarLD"	"3B"	2	15	1	6	0.00150667
"39"	"Col FRI"	"22VarLD"	"3B"	3	15	1	6	0.00177667
"40"	"Col FRI"	"22VarLD"	"3B"	4	15	1	6	0.00123
"41"	"Col"	"22ConLD"	"4B"	1	15	1	6	0.00092667
"42"	"Col"	"22ConLD"	"4B"	2	15	1	9	0.00152333
"43"	"Col"	"22ConLD"	"4B"	3	15	1	8	0.00141
"44"	"Col"	"22ConLD"	"4B"	4	15	1	8	0.00174333
"45"	"Col FRI"	"22ConLD"	"4B"	1	15	1	6	0.00196667
"46"	"Col FRI"	"22ConLD"	"4B"	2	15	1	8	0.00140333
"47"	"Col FRI"	"22ConLD"	"4B"	3	15	1	7	0.00205667
"48"	"Col FRI"	"22ConLD"	"4B"	4	15	1	7	0.00178333
"49"	"Col"	"22ConLD"	"6T"	1	15	1	6	0.00081667
"50"	"Col"	"22ConLD"	"6T"	2	15	1	8	0.00173667
"51"	"Col"	"22ConLD"	"6T"	3	15	1	8	0.00152333
"52"	"Col"	"22ConLD"	"6T"	4	15	1	7	0.00143
"53"	"Col FRI"	"22ConLD"	"6T"	1	15	1	6	0.00061667
"54"	"Col FRI"	"22ConLD"	"6T"	2	15	1	6	0.00100667
"55"	"Col FRI"	"22ConLD"	"6T"	3	15	1	7	0.00173
"56"	"Col FRI"	"22ConLD"	"6T"	4	15	1	6	0.00141333
"57"	"Col"	"22VarLD"	"7T"	1	15	1	6	0.00109
"58"	"Col"	"22VarLD"	"7T"	2	15	1	6	0.00106333
"59"	"Col"	"22VarLD"	"7T"	3	15	1	5	0.00062
"60"	"Col"	"22VarLD"	"7T"	4	15	1	6	0.00137
"61"	"Col FRI"	"22VarLD"	"7T"	1	15	1	6	0.00084333
"62"	"Col FRI"	"22VarLD"	"7T"	2	15	1	6	0.00062
"63"	"Col FRI"	"22VarLD"	"7T"	3	15	1	6	0.00106667
"64"	"Col FRI"	"22VarLD"	"7T"	4	15	1	6	0.00069333
"65"	"Col"	"12ConLD"	"5B"	1	15	1	4	0.00044667
"66"	"Col"	"12ConLD"	"5B"	2	15	1	4	0.00058
"67"	"Col"	"12ConLD"	"5B"	3	15	1	4	0.00043333
"68"	"Col"	"12ConLD"	"5B"	4	15	1	2	0.00012667
"69"	"Col FRI"	"12ConLD"	"5B"	1	15	1	4	0.00023
"70"	"Col FRI"	"12ConLD"	"5B"	2	15	1	4	0.00052667
"71"	"Col FRI"	"12ConLD"	"5B"	3	15	1	4	0.00053333
"72"	"Col"	"12ConLD"	"2B"	1	15	1	4	0.00052
"73"	"Col"	"12ConLD"	"2B"	2	15	1	4	0.00059667
"74"	"Col"	"12ConLD"	"2B"	3	15	1	4	0.00068333
"75"	"Col"	"12ConLD"	"2B"	4	15	1	4	0.00048667
"76"	"Col FRI"	"12ConLD"	"2B"	1	15	1	4	0.00073333
"77"	"Col FRI"	"12ConLD"	"2B"	2	15	1	4	0.00043333
"78"	"Col FRI"	"12ConLD"	"2B"	3	15	1	4	0.00040333
"79"	"Col FRI"	"12ConLD"	"2B"	4	15	1	4	0.00058667
"80"	"Col"	"12ConLD"	"2B"	1	18	1	5	0.000655
"81"	"Col"	"12ConLD"	"2B"	2	18	1	4	0.000445
"82"	"Col"	"12ConLD"	"2B"	3	18	1	4	0.000785
"83"	"Col"	"12ConLD"	"2B"	4	18	1	4	0.00032
"84"	"Col FRI"	"12ConLD"	"2B"	1	18	1	4	0.000495
"85"	"Col FRI"	"12ConLD"	"2B"	2	18	1	4	0.000755
"86"	"Col FRI"	"12ConLD"	"2B"	3	18	1	4	0.001485
"87"	"Col FRI"	"12ConLD"	"2B"	4	18	1	5	0.00056
"88"	"Col"	"12ConLD"	"5B"	1	18	1	4	0.000345
"89"	"Col"	"12ConLD"	"5B"	2	18	1	4	0.00044
"90"	"Col"	"12ConLD"	"5B"	3	18	1	4	0.000635
"91"	"Col"	"12ConLD"	"5B"	4	18	1	4	0.000245
