"Genotype"	"Treatment"	"Treatment.detail"	"Chamber.ID"	"Days.to.Bolt"	"Rosette.leaf.num"	"weight.grams"
"1"	"Col"	"12ConLD"	"12ConLDZ"	"2B"	27	11	0.00768
"2"	"Col"	"12ConLD"	"12ConLDZ"	"2B"	27	10	0.00424
"3"	"Col"	"12ConLD"	"12ConLDZ"	"2B"	27	11	0.0058
"4"	"Col"	"12ConLD"	"12ConLDZ"	"2B"	27	10	0.00617
"5"	"Col"	"12ConLD"	"12ConLDY"	"5B"	28	11	0.00729
"6"	"Col"	"12ConLD"	"12ConLDY"	"5B"	28	10	0.00401
"7"	"Col"	"12ConLD"	"12ConLDY"	"5B"	28	11	0.00477
"8"	"Col"	"12ConLD"	"12ConLDZ"	"2B"	28	11	0.00794
"9"	"Col"	"12ConLD"	"12ConLDZ"	"2B"	28	10	0.00465
"10"	"Col"	"12ConLD"	"12ConLDZ"	"2B"	31	12	0.00814
"11"	"Col"	"12ConLD"	"12ConLDY"	"5B"	32	12	0.00924
"12"	"Col"	"12ConLD"	"12ConLDY"	"5B"	32	13	0.00912
"13"	"Col"	"12ConLD"	"12ConLDY"	"5B"	39	13	0.00997
"14"	"Col"	"12ConLD"	"12ConLDY"	"5B"	39	13	0.01194
"15"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	47	30	0.09201
"16"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	47	29	0.06483
"17"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	47	34	0.09232
"18"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	47	31	0.09634
"19"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	48	30	0.0845
"20"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	52	36	0.10201
"21"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	52	32	0.11
"22"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	54	35	0.1111
"23"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	54	34	0.14629
"24"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	54	37	0.12103
"25"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	54	36	0.11664
"26"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	55	31	0.06897
"27"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	55	34	0.12165
"28"	"Col FRI"	"12ConLD"	"12ConLDZ"	"2B"	55	38	0.17176
"29"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	56	36	0.11712
"30"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	60	39	0.13873
"31"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	60	29	0.0879
"32"	"Col FRI"	"12ConLD"	"12ConLDY"	"5B"	63	34	0.1627
"33"	"Col"	"12ConSD"	"12ConSDZ"	"4T"	66	40	0.112
"34"	"Col"	"12ConSD"	"12ConSDZ"	"4T"	66	43	0.14962
"35"	"Col"	"12ConSD"	"12ConSDY"	"5T"	69	42	0.13075
"36"	"Col"	"12ConSD"	"12ConSDZ"	"4T"	73	39	0.11922
"37"	"Col"	"12ConSD"	"12ConSDY"	"5T"	73	46	0.10634
"38"	"Col"	"12ConSD"	"12ConSDY"	"5T"	86	50	0.15373
"39"	"Col FRI"	"12ConSD"	"12ConSDZ"	"4T"	85	58	0.27499
"40"	"Col FRI"	"12ConSD"	"12ConSDZ"	"4T"	85	56	0.22676
"41"	"Col FRI"	"12ConSD"	"12ConSDZ"	"4T"	86	56	0.20941
"42"	"Col FRI"	"12ConSD"	"12ConSDZ"	"4T"	88	59	0.24571
"43"	"Col FRI"	"12ConSD"	"12ConSDY"	"5T"	88	60	0.20709
"44"	"Col FRI"	"12ConSD"	"12ConSDY"	"5T"	88	58	0.19444
"45"	"Col FRI"	"12ConSD"	"12ConSDY"	"5T"	90	58	0.19667
"46"	"Col FRI"	"12ConSD"	"12ConSDY"	"5T"	90	58	0.17914
"47"	"Col"	"22ConLD"	"22ConLDZ"	"4B"	19	9	0.00432
"48"	"Col"	"22ConLD"	"22ConLDZ"	"4B"	19	9	0.00307
"49"	"Col"	"22ConLD"	"22ConLDZ"	"4B"	19	9	0.00198
"50"	"Col"	"22ConLD"	"22ConLDZ"	"4B"	19	9	0.0047
"51"	"Col"	"22ConLD"	"22ConLDY"	"6T"	19	10	0.00481
"52"	"Col"	"22ConLD"	"22ConLDY"	"6T"	19	9	0.00529
"53"	"Col"	"22ConLD"	"22ConLDZ"	"4B"	20	11	0.00869
"54"	"Col"	"22ConLD"	"22ConLDY"	"6T"	20	10	0.00392
"55"	"Col"	"22ConLD"	"22ConLDY"	"6T"	20	9	0.00451
"56"	"Col"	"22ConLD"	"22ConLDY"	"6T"	20	9	0.00367
"57"	"Col"	"22ConLD"	"22ConLDY"	"6T"	20	9	0.00242
"58"	"Col"	"22ConLD"	"22ConLDY"	"6T"	21	12	0.00546
"59"	"Col"	"22ConLD"	"22ConLDZ"	"4B"	22	13	0.00985
"60"	"Col FRI"	"22ConLD"	"22ConLDY"	"6T"	49	33	0.1392
"61"	"Col FRI"	"22ConLD"	"22ConLDY"	"6T"	49	35	0.15212
"62"	"Col FRI"	"22ConLD"	"22ConLDZ"	"4B"	52	42	0.24747
"63"	"Col FRI"	"22ConLD"	"22ConLDZ"	"4B"	60	43	0.29846
"64"	"Col FRI"	"22ConLD"	"22ConLDY"	"6T"	60	48	0.27598
"65"	"Col FRI"	"22ConLD"	"22ConLDY"	"6T"	65	47	0.30401
"66"	"Col FRI"	"22ConLD"	"22ConLDZ"	"4B"	69	57	0.46815
"67"	"Col FRI"	"22ConLD"	"22ConLDY"	"6T"	73	50	0.3126
"68"	"Col FRI"	"22ConLD"	"22ConLDZ"	"4B"	79	56	0.4346
"69"	"Col FRI"	"22ConLD"	"22ConLDZ"	"4B"	83	66	0.48908
"70"	"Col"	"22ConSD"	"22ConSDY"	"7B"	48	30	0.07014
"71"	"Col"	"22ConSD"	"22ConSDZ"	"2T"	51	37	0.11067
"72"	"Col"	"22ConSD"	"22ConSDZ"	"2T"	51	31	0.07109
"73"	"Col"	"22ConSD"	"22ConSDY"	"7B"	51	33	0.08575
"74"	"Col"	"22ConSD"	"22ConSDY"	"7B"	52	35	0.06124
"75"	"Col"	"22ConSD"	"22ConSDY"	"7B"	54	39	0.07952
"76"	"Col"	"22ConSD"	"22ConSDZ"	"2T"	55	38	0.10365
