"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Notes"
"1"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"2B"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	66	79	56	10	NA
"2"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"2B"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	68	82	59	9	NA
"3"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"2B"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	65	80	57	9	NA
"4"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"2B"	"High"	"NV"	16	12	"Con"	"Y"	"Y"	64	82	62	10	NA
"5"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"5B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	69	84	52	9	NA
"6"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"5B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	72	87	60	7	NA
"7"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"5B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	72	87	61	8	NA
"8"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDNV"	"5B"	"Low"	"NV"	16	12	"Con"	"Y"	"Y"	80	92	57	7	NA
"9"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"4T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	87	103	64	7	NA
"10"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"4T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	85	100	67	6	NA
"11"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"4T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	79	96	70	7	NA
"12"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDNV"	"4T"	"High"	"NV"	8	12	"Con"	"Y"	"Y"	88	104	65	6	NA
