"Genotype"	"Treatment"	"Treatment.Long"	"Hypocotyl.length.mm"	"Leaf.Num.at.Measure"
"1"	"Ler-1"	"22VarSD"	"22Var8SDA"	14.1	2
"2"	"Ler-1"	"22VarSD"	"22Var8SDA"	14.47	2
"3"	"Ler-1"	"22VarSD"	"22Var8SDA"	10.91	0
"4"	"Ler-1"	"22VarSD"	"22Var8SDA"	12.43	2
"5"	"Ler-1"	"22VarLD"	"22Var16LDA"	6.63	3
"6"	"Ler-1"	"22VarLD"	"22Var16LDA"	7.41	2
"7"	"Ler-1"	"22VarLD"	"22Var16LDA"	7.48	2
"8"	"Ler-1"	"22VarLD"	"22Var16LDA"	8.12	3
"9"	"Ler-1"	"22ConSD"	"22C8SDA"	8.24	2
"10"	"Ler-1"	"22ConSD"	"22C8SDA"	8.81	2
"11"	"Ler-1"	"22ConSD"	"22C8SDA"	6.85	2
"12"	"Ler-1"	"22ConSD"	"22C8SDA"	7.24	2
"13"	"Ler-1"	"22ConLD"	"22C16LDA"	6.32	4
"14"	"Ler-1"	"22ConLD"	"22C16LDA"	7.13	4
"15"	"Ler-1"	"22ConLD"	"22C16LDA"	7.04	4
"16"	"Ler-1"	"22ConLD"	"22C16LDA"	5.35	4
"17"	"Col (Lis)"	"22VarSD"	"22Var8SDA"	14.1	2
"18"	"Col (Lis)"	"22VarSD"	"22Var8SDA"	14.47	2
"19"	"Col (Lis)"	"22VarSD"	"22Var8SDA"	10.91	0
"20"	"Col (Lis)"	"22VarSD"	"22Var8SDA"	12.43	2
"21"	"Col (Lis)"	"22VarLD"	"22Var16LDA"	8.65	3
"22"	"Col (Lis)"	"22VarLD"	"22Var16LDA"	5.19	4
"23"	"Col (Lis)"	"22VarLD"	"22Var16LDA"	8.75	4
"24"	"Col (Lis)"	"22VarLD"	"22Var16LDA"	7.94	4
"25"	"Col (Lis)"	"22ConSD"	"22C8SDA"	4.23	2
"26"	"Col (Lis)"	"22ConSD"	"22C8SDA"	4.58	2
"27"	"Col (Lis)"	"22ConSD"	"22C8SDA"	5.37	2
"28"	"Col (Lis)"	"22ConSD"	"22C8SDA"	6.1	2
